Customer ID,Customer Name,AR Account,Chain,Phone,Territory,Account Status,Customer Type,Last Month Sales,Product Group,Distribution Area
1535,APPLEJACKS LIQUORS - DENTON,APPLEJACKS LIQUORS,* Independent Fisher59 - TEXAS,(817) 614-1553,Denton,Active,LIQUOR / PACKAGE STORE,"$255,123.42 ",All (Beer/Wine/Spirits),(TX) Denton
950,SPEC'S LIQUORS #123 (DENTON),SPEC'S LIQUOR (D),SPEC'S LIQUOR (TX),,Denton,Active,LIQUOR / PACKAGE STORE,"$129,738.71 ",All (Beer/Wine/Spirits),(TX) Denton
57885,WAL-MART #185 (GAINESVILLE),WAL-MART (D),WAL-MART (TX),(940) 668-6898,Denton,Active,SUPERCENTER,"$122,511.80 ",Beer/Wine,(TX) Cooke
49318,TOTAL WINE SPIRITS BEER & MORE #511,TOTAL WINE #511,TOTAL WINE (TX),(940) 484-9540,Denton,Active,LIQUOR / PACKAGE STORE,"$111,093.36 ",All (Beer/Wine/Spirits),(TX) Denton
789,WAL-MART SUPERCENTER - #5707 (CROSS ROADS),WAL-MART (D),WAL-MART (TX),,Denton,Active,SUPERCENTER,"$97,116.55 ",Beer/Wine,(TX) Denton
52986,WAL-MART SUPERCENTER - #4627 (UNIVERSITY),WAL-MART (D),WAL-MART (TX),(940) 555-1212,Denton,Active,SUPERCENTER,"$95,175.65 ",Beer/Wine,(TX) Denton
12023,WINSTAR CASINO,WINSTAR/TRADITIONS ON PREMISE (L),WINSTAR/TRADITIONS ON PREMISE (OK),(787) 431-4564,Ardmore,Active,CASINO / GAMING,"$91,210.41 ",All (Beer/Wine/Spirits),(OK) Love
49396,BUCEES #37 (HWY 114),BUCEES (D),BUCEES (TX),(682) 831-9947,Denton,Active,C-STORE / GAS,"$90,043.35 ",Beer/Wine,(TX) Denton
46946,WAL-MART SUPERCENTER - #5247 (ROANOKE),WAL-MART (D),WAL-MART (TX),(682) 831-9344,Denton,Active,SUPERCENTER,"$87,055.68 ",Beer/Wine,(TX) Denton
52985,WAL-MART SUPERCENTER - #467 (LOOP 288),WAL-MART (D),WAL-MART (TX),(940) 484-1717,Denton,Active,SUPERCENTER,"$84,850.23 ",Beer/Wine,(TX) Denton
6725,WAL-MART STORE #5071 (QUANAH PARKER),WAL-MART (LAW),WAL-MART (OK),(580) 510-9130,Lawton,Active,SUPERCENTER,"$83,386.25 ",Beer/Wine,(OK) Comanche
56804,WAL-MART SUPERCENTER - #421 (DECATUR),WAL-MART (D),WAL-MART (TX),(817) 609-3569,Denton,Active,SUPERCENTER,"$82,204.71 ",Beer/Wine,(TX) Wise
6710,WAL-MART STORE #1116 (DUNCAN),WAL-MART (LAW),WAL-MART (OK),(580) 255-5455,Lawton,Active,SUPERCENTER,"$81,894.31 ",Beer/Wine,(OK) Stephens
63065,KROGER #493,KROGER (D),KROGER (TX),,Denton,Active,SUPERMARKET,"$80,137.47 ",Beer/Wine,(TX) Denton
53470,WAL-MART SUPERCENTER - #3286 (HICKORY CREEK),WAL-MART (D),WAL-MART (TX),(940) 321-5363,Denton,Active,SUPERCENTER,"$79,059.45 ",Beer/Wine,(TX) Denton
898,TOTAL WINE SPIRITS BEER & MORE #507,TOTAL WINE #507,TOTAL WINE (TX),(214) 488-5713,Denton,Active,LIQUOR / PACKAGE STORE,"$76,357.13 ",All (Beer/Wine/Spirits),(TX) Denton
11010,WAL-MART STORE #129 (ARDMORE),WAL-MART (LAW),WAL-MART (OK),(580) 226-1257,Ardmore,Active,SUPERCENTER,"$76,218.16 ",Beer/Wine,(OK) Carter
334,KROGER #580,KROGER (D),KROGER (TX),(469) 888-5518,Denton,Active,SUPERMARKET,"$75,839.77 ",Beer/Wine,(TX) Denton
47506,WAL-MART SUPERCENTER - #5092 (ROUND GROVE),WAL-MART (D),WAL-MART (TX),(972) 315-3507,Denton,Active,SUPERCENTER,"$74,749.81 ",Beer/Wine,(TX) Denton
2603,H-E-B #789,HEB (TX),HEB (TX),,Denton,Active,SUPERMARKET,"$74,591.57 ",Beer/Wine,(TX) Denton
47472,WAL-MART SUPERCENTER - #217 (LEW MAIN ST),WAL-MART (D),WAL-MART (TX),(972) 436-3099,Denton,Active,SUPERCENTER,"$73,376.57 ",Beer/Wine,(TX) Denton
45881,KROGER #570,KROGER (D),KROGER (TX),(940) 380-4100,Denton,Active,SUPERMARKET,"$72,060.14 ",Beer/Wine,(TX) Denton
1142,KROGER #572,KROGER (D),KROGER (TX),(940) 294-8331,Denton,Active,SUPERMARKET,"$71,629.54 ",Beer/Wine,(TX) Denton
6715,WAL-MART SUPERCENTER #113 (CHICKASHA),WAL-MART (LAW),WAL-MART (OK),(405) 224-1867,Lawton,Active,SUPERCENTER,"$69,800.75 ",Beer/Wine,(OK) Grady
47655,SAM'S CLUB #4905 (DENTON),SAMS CLUB (D),SAM'S CLUB (TX),(940) 898-1807,Denton,Active,WHOLESALE CLUB,"$69,515.40 ",Beer/Wine,(TX) Denton
50625,WAL-MART SUPERCENTER - #426 (THE COLONY),WAL-MART (D),WAL-MART (TX),(972) 625-6628,Denton,Active,SUPERCENTER,"$69,012.82 ",Beer/Wine,(TX) Denton
6745,WAL-MART STORE #269 (NW SHERIDAN),WAL-MART (LAW),WAL-MART (OK),(580) 355-9070,Lawton,Active,SUPERCENTER,"$68,155.93 ",Beer/Wine,(OK) Comanche
2309,7-ELEVEN GROCERY #38993 (FORT WORTH),711 (Denton),711 (TX),,Denton,Active,C-STORE / GAS,"$67,238.40 ",Beer/Wine,(TX) Denton
49700,WAL-MART SUPERCENTER - #4240 (HIGHLAND VILLAGE),WAL-MART (D),WAL-MART (TX),(972) 317-4951,Denton,Active,SUPERCENTER,"$62,523.44 ",Beer/Wine,(TX) Denton
3128,H-E-B #802,HEB (TX),HEB (TX),(979) 251-4716,Denton,Active,SUPERMARKET,"$59,905.83 ",Beer/Wine,(TX) Denton
45872,KROGER #586,KROGER (D),KROGER (TX),(940) 566-6275,Denton,Active,SUPERMARKET,"$59,441.38 ",Beer/Wine,(TX) Denton
47654,SAM'S CLUB #6381 (LEWISVILLE),SAMS CLUB (D),SAM'S CLUB (TX),(972) 436-6684,Denton,Active,WHOLESALE CLUB,"$58,342.10 ",Beer/Wine,(TX) Denton
